processed_tweets,sentiment
polisi sita rp600 juta dpo tersangka judi online libatkan pegawai komdigi,neutral
polda metro tangkap dpo judi online libatkan pegawai komdigi,negative
laporpakprabowo judi online yg tangkap ekornya komdigi kepalanya tangkap,negative
judol donk biar jenderal pembeking dilupakan fokus komdigi gila,negative
polda metro tangkap 3 dpo judi online komdigi total 22 tersangka,neutral
yg kakapnya ya polisi 3 dpo mafia akses judol komdigi ditangkap bandara,negative
polisi tangkap 3 dpo bandar situs judi online dilindungi oknum komdigi uang rp 600 juta disita budi arie diperiksa,neutral
ditangkap bandar judi online libatkan pegawai komdigi ngaku setor rp24 juta diblokir,neutral
judol diatasi komdigi polisi fix ga berani tepatnya takut diposisi teman mendukung membongkar sekelas penguasa tertinggi,neutral
polisi sita rp600 juta dpo tersangka judi online libatkan pegawai komdigi,neutral
krn pengalaman bnyk yg ragu khwatir penanganan judol komdigi takkan menyentuh pejabat yg bertanggungjawab terlibat penangkapan ivan sugianto yg menyuruh anak sma bersujud menggonggong sandiwara ivan ditangkap adl,neutral
bertugas perangi judi online pegawai komdigi bandar cegah situs situs terblokir,neutral
dpo judi online libatkan pegawai komdigi bertambah 6 bandar,negative
peran 3 dpo ditangkap polda metro jaya terkait judi online komdigi viral fyp x reader indonesia semanggi subdit jatanras ditreskrimum polda metro jaya menangkap p,neutral
3 dpo bandar judi online komdigi dibekuk total tersangka 22 orang,neutral
mending usia tk sd ditanamkan ilmu budi pekerti etika generasi depannya tdk yg berperilaku fufufafa kalo koding pelaku judol komdigi jago koding,neutral
respon komdigi,negative
polisi tangkap 3 dpo judi online komdigi total 22 tersangka diamankan,neutral
3 dpo pegawai komdigi terlibat judi online ditangkap polisi via,negative
polda metro tangkap dpo judi online libatkan pegawai komdigi,negative
tangkap 3 buron situs judol komdigi polisi sita uang rp 600 juta,neutral
peran tersangka judi online oknum komdigi kelola web diblokir,neutral
polda metro jaya tangkap 3 buronan judi online komdigi,neutral
polisi sita rp600 juta dpo tersangka judi online libatkan pegawai komdigi,neutral
polda metro tangkap dpo judi online libatkan pegawai komdigi,negative
komdigi paparkan peran indonesia negara asia afrika global,neutral
menteri komdigi meutya hafid sepakat coding masuk kurikulum sekolah dasar menengah,neutral
pekan dpo judol jaringan komdigi ditangkap,negative
smsi usulkan penyempurnaan penataan masyarakat pers indonesia pintu komdigi,neutral
ngga ko kominfo mantap komdigi,negative
presiden prabowo subianto mendukung proses hukum oknum pejabat kementerian komunikasi digital komdigi terlibat judi online dukungprabowo suksesprabowo berantasjudionline prabowoberdedikasi karyanyata,neutral
440 ribu pelajar terpapar judi online menteri komdigi meutya hafid bilang,neutral
440 ribu pelajar terpapar judi online menteri komdigi meutya hafid bilang,neutral
syangny x gak peduli kmha lapor komdigi untk x,neutral
pas ramai oknum komdigi diduga melindungi situs judol video viral nih sih video temuan uang laci ruangan staf khusus eks menteri kominfo budi arie gampang percaya ya sahabat biar dikasih tau faktanya,neutral
problem klasik pengembangan sistem nya ranah komdigi nggak sih,neutral
ni kerjaan komdigi urusin nih x isinya iklan judol iklan vulgar gw ga main judol bukain akun aneh baca au 18 aja ga gilingan kesel,neutral
gak nyambung bat pantunnya komdigi,negative
mobil hitam tol langit,negative
pemecatan sepuluh pegawai komdigi tersangka judol menteri komunikasi digital menkomdigi meutya hafid memberhentikan pegawai judol,neutral
perang melawan judi online komdigi tutup akun telegram,negative
kementerian komunikasi digital komdigi lembaga memerangi berantas judi online salah pegawainya berperan bandar kabid humas polda metro jaya kombes pol ade ary syam indradi pegawai komdigi berinisial he,neutral
mention kementrian komdigi ah masukan bagus,neutral
tsk judol pegawai komdigi membengkak 24 orang pertanyaannya dg peg yg terlibat budi arie menahu aneh nyata,neutral
meta medsos konten judol disikat komdigi,negative
memasuki semester 2024 ppatk transaksi judi online mencapai rp283 triliun polri kementerian komdigi memberantas temuan fakta simak ulasannya newsorhoax besok pkl 12 30 wib kompastv,neutral
khawatir atasan pegawai komdigi tersentuh hukum terkait judi online,negative
tersangka judi online pegawai komdigi 24 orang 6 orang buron,negative
berperan bandar polisi tangkap buronan judol jaringan komdigi,negative
lihat postingan memblokir beternak situs judi online pegawai komdigi terjebak kemunafikan demokrasi,neutral
penghubung komdigi,negative
dukung komdigi berantas judi online gavriel novanto komisi i dpr ri bentuk panja judol partaigolkar bahlillahadalia golkarpedia golkarindonesia golkarsolidindonesiamaju gavrielputrantonovanto,neutral
terungkap bandar situs judi online setor uang rp 24 juta oknum pegawai komdigi download opera news berita terbaik,neutral
berperan bandar polisi tangkap buronan judol jaringan komdigi,negative
kira2 kesempatan yg ambil heboh menutupi komdigi banyaknya kejahatan negeri bedebah,neutral
6 orang buron judi online komdigi polisi beberkan perannya,neutral
memasuki semester 2024 ppatk transaksi judi online mencapai rp283 triliun polri kementerian komdigi memberantas temuan fakta simak ulasannya newsorhoax besok pkl 12 30 wib kompastv,neutral
polisi menangkap tersangka judi online melibatkan pegawai kementerian komunikasi digital komdigi berinisial he,neutral
